"# CP16 growth-index fingerprint (exploratory; proxy; 050 ceiling untouched; real check = CLASS, blocked)"
"# c_eff2=4.6e-06, k_S8=0.2 Mpc^-1; Omega_m_a = QFUDS ordinary-matter fraction Om0 a^-3/E^2"
"# gamma_eff_QFUDS(z=0)=0.4770, gamma_LCDM(z=0)=0.5544, MG band [0.42,0.68] -> INSIDE/degenerate"
z,Omega_m_a,f_LCDM,f_QFUDS,gamma_eff_QFUDS,gamma_LCDM
0.0000,0.31500,0.52708,0.57637,0.47698,0.55437
0.1000,0.37966,0.58540,0.62664,0.48260,0.55289
0.2000,0.44275,0.63795,0.67295,0.48614,0.55169
0.3000,0.50250,0.68456,0.71464,0.48822,0.55071
0.4000,0.55779,0.72540,0.75156,0.48925,0.54992
0.5000,0.60802,0.76087,0.78385,0.48948,0.54928
0.6000,0.65304,0.79149,0.81188,0.48907,0.54876
0.7000,0.69298,0.81782,0.83608,0.48813,0.54834
0.8000,0.72815,0.84042,0.85692,0.48671,0.54801
0.9000,0.75899,0.85980,0.87485,0.48484,0.54774
1.0000,0.78594,0.87644,0.89027,0.48251,0.54752
1.1000,0.80947,0.89074,0.90357,0.47972,0.54736
1.2000,0.82999,0.90306,0.91505,0.47642,0.54724
1.3000,0.84791,0.91369,0.92500,0.47256,0.54715
1.4000,0.86358,0.92289,0.93365,0.46809,0.54710
1.5000,0.87729,0.93088,0.94119,0.46293,0.54708
1.6000,0.88931,0.93784,0.94780,0.45700,0.54709
1.7000,0.89983,0.94393,0.95359,0.45023,0.54712
1.8000,0.90897,0.94926,0.95864,0.44257,0.54717
1.9000,0.91658,0.95394,0.96288,0.43426,0.54726
2.0000,0.92225,0.95808,0.96610,0.42605,0.54736
2.2000,0.92765,0.96497,0.96945,0.41311,0.54764
2.4000,0.92905,0.97043,0.97071,0.40401,0.54801
2.6000,0.92939,0.97480,0.97139,0.39639,0.54848
2.8000,0.92946,0.97833,0.97192,0.38939,0.54905
3.0000,0.92945,0.98121,0.97239,0.38277,0.54972
3.2000,0.92942,0.98357,0.97282,0.37644,0.55051
3.4000,0.92938,0.98553,0.97324,0.37036,0.55141
3.6000,0.92933,0.98717,0.97364,0.36452,0.55244
3.8000,0.92929,0.98854,0.97402,0.35890,0.55359
4.0000,0.92924,0.98971,0.97439,0.35348,0.55487
4.2000,0.92919,0.99069,0.97475,0.34826,0.55628
4.4000,0.92914,0.99154,0.97509,0.34323,0.55782
4.6000,0.92909,0.99226,0.97542,0.33837,0.55950
4.8000,0.92904,0.99289,0.97574,0.33367,0.56131
5.0000,0.92900,0.99343,0.97605,0.32913,0.56324

# gamma_eff_QFUDS(z=0) scale dependence
k_Mpc^-1,eta_z0,gamma_eff_z0
0.01,0.9910,0.22513
0.05,0.8147,0.27943
0.2,0.2155,0.47698
0.5,0.0421,0.53917
1.0,0.0109,0.55069
