c_eff2,S8
1e-08,0.9549591672966331
1.887391822135096e-08,0.9538688015694117
3.562247890262444e-08,0.9518555139853211
6.723357536499335e-08,0.9482061754821718
1.2689610031679235e-07,0.9418061988042058
2.395026619987486e-07,0.931190692376267
4.5203536563602405e-07,0.9150495617232267
8.531678524172815e-07,0.8932730550428446
1.6102620275609392e-06,0.867664011717417
3.0391953823131947e-06,0.8410664493034752
5.736152510448681e-06,0.8156382676648462
1.082636733874054e-05,0.7922086885535136
2.0433597178569398e-05,0.7708127518325385
3.856620421163472e-05,0.7513308100830652
7.278953843983146e-05,0.7337881843314373
0.00013738237958832637,0.7184101394862331
0.0002592943797404667,0.7055473914779693
0.0004893900918477489,0.6954984799582946
0.0009236708571873865,0.6882826884429413
0.0017433288221999873,0.6835346600800414
0.003290344562312671,0.6806380067407201
0.006210169418915616,0.6789668511652736
0.011721022975334793,0.6780370850672315
0.022122162910704502,0.6775309829236195
0.041753189365604,0.6772588618581319
0.07880462815669904,0.6771135455029151
0.14873521072935117,0.6770362254252975
0.2807216203941176,0.676995169959648
0.5298316906283702,0.6769733905857014
1.0,0.6769618376423656

# key summary
quantity,value
canonical_c_eff2,1.0
required_c_eff2,2.9070477003512645e-05
gap_orders_of_magnitude,4.5365478420412755
S8_canonical,0.6769618376423656
S8_required,0.7597667811168122
S8_obs_target,0.76
knobs_before,5
knobs_after,5
