2.000000,0.000000,0.000000,0.036056,0.000326,0.036056,0.000326,0.036056,0.000326
6.000000,0.049052,0.002528,0.056990,0.002481,0.126873,0.001095,0.184317,0.001451
10.000000,-0.022472,0.006600,0.048607,0.003025,0.154377,0.002522,0.281485,0.002850
14.000000,-0.099791,0.010843,-0.007065,0.005153,0.142501,0.004334,0.329937,0.003900
18.000000,-0.164370,0.011766,-0.049873,0.006197,0.122576,0.005506,0.361872,0.005137
22.000000,-0.177490,0.015073,-0.106781,0.008334,0.085740,0.006657,0.367107,0.006219
26.000000,-0.349322,0.020453,-0.178063,0.011215,0.051810,0.008189,0.364594,0.007448
30.000000,-0.528027,0.021612,-0.268311,0.012167,0.011367,0.009145,0.344106,0.008467
34.000000,-0.650033,0.024196,-0.355776,0.014617,-0.024093,0.010849,0.326712,0.009796
38.000000,-0.747311,0.029032,-0.401358,0.016476,-0.049107,0.012257,0.308126,0.011211
42.000000,-0.838709,0.031207,-0.449701,0.018300,-0.075836,0.013447,0.269182,0.012241
46.000000,-0.871819,0.033869,-0.451511,0.021080,-0.132523,0.015370,0.224116,0.013338
50.000000,-0.834193,0.039280,-0.454117,0.022576,-0.135727,0.016548,0.231090,0.014584
54.000000,-0.707938,0.042744,-0.463289,0.024783,-0.130675,0.017884,0.212254,0.015505
58.000000,-0.672604,0.043317,-0.457673,0.026124,-0.132227,0.019301,0.195726,0.016763
62.000000,-0.718210,0.048775,-0.456691,0.028478,-0.167959,0.020785,0.185151,0.018088
66.000000,-0.843514,0.054018,-0.509296,0.031597,-0.169488,0.022212,0.130182,0.019472
70.000000,-0.914018,0.055338,-0.460648,0.032430,-0.205303,0.023768,0.132447,0.020757
74.000000,-1.023094,0.059602,-0.398342,0.035821,-0.232242,0.025943,0.140840,0.021834
78.000000,-1.021745,0.064384,-0.430674,0.037861,-0.170155,0.027298,0.120436,0.022800
82.000000,-0.937067,0.067202,-0.459589,0.039446,-0.220382,0.028855,0.090721,0.023941
86.000000,-0.790423,0.072657,-0.325417,0.042041,-0.170426,0.030049,0.110916,0.025127
90.000000,-0.669179,0.078585,-0.264003,0.044283,-0.150522,0.031842,0.077699,0.026441
94.000000,-0.683477,0.080979,-0.269577,0.046576,-0.096541,0.033658,0.129223,0.027895
98.000000,-0.424863,0.084691,-0.181584,0.048665,-0.110925,0.034763,0.140333,0.029074
102.000000,-0.286875,0.090461,-0.207467,0.050793,-0.038548,0.036930,0.076086,0.029836
106.000000,-0.314238,0.093138,-0.190383,0.053566,-0.022697,0.038733,0.032390,0.031416
110.000000,-0.505972,0.096171,-0.159390,0.054937,-0.116770,0.040561,0.082984,0.032299
114.000000,-0.546228,0.102631,-0.171185,0.059432,-0.165455,0.041688,0.067031,0.033698
118.000000,-0.473619,0.107269,-0.288164,0.060276,-0.129518,0.042662,0.093367,0.034810
122.000000,-0.532951,0.109140,-0.405467,0.062579,-0.150725,0.044631,0.056171,0.036051
126.000000,-0.521711,0.113408,-0.352499,0.066303,-0.167181,0.046547,0.028470,0.037072
130.000000,-0.545460,0.119703,-0.238790,0.068924,-0.183766,0.048398,0.073920,0.038578
134.000000,-0.397126,0.121960,-0.270984,0.070139,-0.200516,0.050161,0.016644,0.039438
138.000000,-0.477220,0.125667,-0.203119,0.072835,-0.180456,0.051501,-0.013024,0.040777
142.000000,-0.496523,0.132478,-0.163840,0.076299,-0.210069,0.052945,-0.007733,0.042045
146.000000,-0.327387,0.135094,-0.233021,0.078695,-0.292963,0.055110,0.080079,0.043366
150.000000,-0.202813,0.138930,-0.298957,0.080800,-0.246986,0.056333,0.035700,0.044508
154.000000,-0.016386,0.147342,-0.166328,0.083713,-0.082336,0.057377,-0.064279,0.045379
158.000000,0.046509,0.150398,-0.160615,0.085617,-0.139356,0.059689,-0.058004,0.046822
162.000000,0.146623,0.153874,-0.058712,0.088305,-0.076115,0.061798,-0.040523,0.048343
166.000000,0.235110,0.163470,0.023595,0.092576,-0.031526,0.063825,-0.014847,0.049429
170.000000,0.342029,0.165827,-0.000298,0.094250,-0.055365,0.065703,0.002605,0.050474
174.000000,0.201963,0.169796,-0.238642,0.096434,0.043527,0.067138,0.041750,0.051582
178.000000,0.505636,0.175803,-0.185191,0.099520,0.003884,0.068738,0.005586,0.052788
182.000000,0.526517,0.180124,-0.151825,0.101431,-0.067700,0.070153,0.027068,0.054112
186.000000,0.586063,0.185991,-0.129668,0.104043,-0.007951,0.072102,0.061386,0.055780
190.000000,0.371703,0.190463,0.166739,0.107697,-0.082960,0.073862,-0.006996,0.057346
194.000000,0.315796,0.196054,-0.071852,0.112616,-0.065938,0.075915,-0.042465,0.058131
198.000000,0.584399,0.201185,0.074122,0.113193,-0.023417,0.077140,0.041018,0.059131
